score,sentence1,sentence2,lang
2.4,Людина є в бейсбольній команді.,Людина грає у баскетбол у команді.,ua-ua
0.2,"Наші нинішні автомобілі опиняться в музеях, коли у всіх будуть свої власні літаки.",Автомобіль потребує ремонту.,ua-ua
1.0,Жінка-наставник дає вказівки чоловікам-робітникам.,Жінка працює медсестрою.,ua-ua
2.0,Поруч із кількома жінками стоїть велосипед.,Дитина біля велосипеда.,ua-ua
2.2,"Група їсть, насолоджуючись захоплюючим видом.",Група людей дивиться на незвичайне дерево.,ua-ua
3.4,Хлопчик піднімає руку.,Чоловік піднімає руку.,ua-ua
0.8,Чоловіка з сивою бородою голять перед лекційним залом.,Чоловік з бородою сидить на траві.,ua-ua
0.4,Небо майже без хмар.,"Ця пані може бути готова до скелелазіння, або просто спостерігає за хмарами над головою.",ua-ua
0.4,Маленький хлопчик стрибає босоніж на передньому подвір'ї.,"Підліток їздив на велосипеді серед людей, які прогулювались по двору.",ua-ua
4.0,У лісі є собаки.,Собаки самі в лісі.,ua-ua
3.4,Декілька велосипедистів зупиняються біля знака.,"Два чоловіки зупиняються, щоб поговорити біля знаку ззовні.",ua-ua
3.0,"Ці кухарі в білому активно працюють на кухні, готуючи вечерю для своїх клієнтів.",Жінки готують вечерю на своїй кухні.,ua-ua
4.6,"Молода людина, глибоко замислена.",Молодий чоловік глибоко задумався.,ua-ua
1.8,Чоловік несе каное з собакою.,Собака несе чоловіка в каное.,ua-ua
2.8,Чоловік виконує роботу.,Сьогодні виступає чоловік.,ua-ua
2.0,Два чоловіки в традиційному одязі стоять на вулиці.,Три жінки в чорних жилетах і сірих сорочках розмовляють на вулиці біля будівлі.,ua-ua
2.2,жінка дивиться на виступ реп-групи в прямому ефірі,"Глядачі спостерігають за дівчиною, яка танцює.",ua-ua
3.6,Дівчина танцює на піщаному пляжі.,Дівчина на піщаному пляжі.,ua-ua
2.6,чоловік у сірому капелюсі ловить рибу з риболовного човна.,Чоловік в солом'яному капелюсі та рибацькому жилеті стоїть у потоці.,ua-ua
0.2,"Маленька дівчинка в оранжевому смугастому вбранні в повітрі, стрибаючи на ліжку.",Собака в червоній сорочці переслідує білку крізь скло.,ua-ua
