score,sentence1,sentence2,lang
2.4,A person is on a baseball team.,Людина грає у баскетбол у команді.,en-ua
0.2,Our current vehicles will be in museums when everyone has their own aircraft.,Автомобіль потребує ремонту.,en-ua
1.0,A woman supervisor is instructing the male workers.,Жінка працює медсестрою.,en-ua
2.0,A bike is next to a couple women.,Дитина біля велосипеда.,en-ua
2.2,The group is eating while taking in a breathtaking view.,Група людей дивиться на незвичайне дерево.,en-ua
3.4,The boy is raising his hand.,Чоловік піднімає руку.,en-ua
0.8,A man with a gray beard is being shaved in front of a lecture hall,Чоловік з бородою сидить на траві.,en-ua
0.4,The sky has very little to no clouds.,"Ця пані може бути готова до скелелазіння, або просто спостерігає за хмарами над головою.",en-ua
0.4,The young boy jumps barefoot outside in the front yard.,"Підліток їздив на велосипеді серед людей, які прогулювались по двору.",en-ua
4.0,There are dogs in the forest.,Собаки самі в лісі.,en-ua
3.4,Some cyclists stop near a sign.,"Два чоловіки зупиняються, щоб поговорити біля знаку ззовні.",en-ua
3.0,These cooks in the white are busy in the kitchen making dinner for their customers.,Жінки готують вечерю на своїй кухні.,en-ua
4.6,A young person  deep in thought.,Молодий чоловік глибоко задумався.,en-ua
1.8,A man is carrying a canoe with a dog.,Собака несе чоловіка в каное.,en-ua
2.8,A man is performing labor.,Сьогодні виступає чоловік.,en-ua
2.0,Two men wearing traditional clothing is standing outside.,Три жінки в чорних жилетах і сірих сорочках розмовляють на вулиці біля будівлі.,en-ua
2.2,a woman watches a rap group live,"Глядачі спостерігають за дівчиною, яка танцює.",en-ua
3.6,A girl dancing on a sandy beach.,Дівчина на піщаному пляжі.,en-ua
2.6,a man wearing a gray hat fishing out of a fishing boat.,Чоловік в солом'яному капелюсі та рибацькому жилеті стоїть у потоці.,en-ua
0.2,A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,Собака в червоній сорочці переслідує білку крізь скло.,en-ua
1.4,A person is watching people ski down the hill.,"Жінка стрибає на далеку відстань, поки люди спостерігають.",en-ua
1.6,The yard has a dog.,Собака біжить за іншою собакою.,en-ua
0.4,The woman is drinking lemonade and watching T.V.,Чоловік сидить і п'є каву.,en-ua
3.2,Three women cook.,Дві жінки готують.,en-ua
0.2,The woman is kneeling next to a cat.,Дівчина стоїть поруч із чоловіком.,en-ua
0.2,The young adult are cold,Азіатські діти грають з собакою.,en-ua
2.4,Three guys playing a pro game of basketball.,Двоє хлопців грають у бейсбол.,en-ua
3.8,A sad man is jumping over a small stream to meet his companion on the other side.,"Чоловік стрибає через струмок, щоб зустрітися з компаньйоном на іншому березі.",en-ua
0.2,The boys are earning their next belt in karate.,П'ять дівчат і один хлопець у купальних костюмах всі в середині стрибка в басейн.,en-ua
1.4,A woman is digging in the sand.,Чоловік похований у піску.,en-ua
1.8,A woman drives a golf cart.,Чоловік їде на возі.,en-ua
4.2,A woman is bungee jumping.,Дівчина стрибає з банджі.,en-ua
1.2,A clown performs for brother and sister as the rest of the party watches.,"Дитина з блондинистим волоссям грає на трубі перед будинком, поки її younger брат спостерігає.",en-ua
1.6,A person filming the outdoors.,На вулиці знаходиться пара.,en-ua
3.8,A human riding a skateboard.,Дитина катається на скейтборді.,en-ua
1.0,A woman in a plaid outfit is looking through a bag of produce.,"Це фото жінки у квітковій сукні, яка несе щось у відрі.",en-ua
3.4,Four girls happily walk down a sidewalk.,Три молоді дівчатка йдуть тротуаром.,en-ua
1.2,The tennis player hit the ball into outer space and broke the death star.,"Жінка-тенісистка стрибає в повітрі, щоб вдарити м'яч.",en-ua
4.0,A boy climbs a forest hill.,Хлопець піднімається на пагорб.,en-ua
2.4,a group of navy seals are singing,Група військовослужбовців грає у мідному квінтеті.,en-ua
2.0,Blond boy jumping onto deck.,Хлопчик стрибає з вологого надувного гірки.,en-ua
2.6,A man uses a chainsaw to sculpt a phallic ice sculpture.,"Чоловік використовує бензопилу, щоб вирізати дерев’яну скульптуру.",en-ua
3.8,A group of male construction workers repair railroad tracks on a cloudy day,"Бригада робітників, яка працює на залізничній колії.",en-ua
3.2,A man playing the violin in the rain.,Чоловік грає на гітарі під дощем.,en-ua
2.2,The people are leaving the airplane.,Люди входять до літака.,en-ua
4.4,The dogs are chasing a cat.,Собаки ганяються за чорним котом.,en-ua
2.6,The girl has something on her head.,У жінки є щось з собою.,en-ua
2.6,the tan dog is playing with the red dog out in the snow,Жовтий пес грає у снігу.,en-ua
0.2,People making a structure out of cards.,"Двоє людей разом, і один використовує предмет одягу не за призначенням.",en-ua
0.2,a girl with vases in the background inside her house,"Дівчина стоїть, поки інша дівчина в окулярах працює над своєю рукописною роботою.",en-ua
3.0,There are four people outside.,П’ятеро людей на вулиці.,en-ua
3.2,A person sitting in an office takes a picture.,Жінка сидить в офісі.,en-ua
1.8,Girls are holding hands in blue clothes,Молоді люди носять джинси з червоними та зеленими сорочками.,en-ua
2.2,People rock jumping into water while people fish in the background.,Дві людини спостерігають за водою.,en-ua
0.6,A man is demonstrating how to work with clay while at least two people observe.,Принаймні одна з трьох жінок розмовляє з іншими.,en-ua
0.6,A dog has a sweater on.,Чоловік у піджаку сидить на червоному дивані з котом.,en-ua
5.0,A blonde woman looks for medical supplies for work in a suitcase.,Блондинка шукає медичні засоби в валізі.,en-ua
5.0,A boy is at school taking a test.,Хлопець складає тест у школі.,en-ua
2.2,An old man wearing a hat stands outside a shop door.,Чоловік у великій сорочці сидить у крамниці.,en-ua
0.2,Sculptor applying concrete to large statue of human figure standing with no head.,"Людина стоїть перед будівлею, тримаючи вгорі фанеру.",en-ua
0.6,A boy with dark hair is in water and is looking up.,Чоловік має коротке волосся.,en-ua
0.2,A pole is behind a person that is playing peekaboo with a child.,Є дитина з м'ячем.,en-ua
1.0,A woman is about to paint.,Хлопець готується зробити фотографію.,en-ua
0.4,The carriage is drawn by a horse.,Чоловік їде на велосипеді поруч зі будівлею.,en-ua
3.4,a man working at the steel mill,"Чоловік, який працює на ливарні.",en-ua
1.4,The young woman is flirting with the young boy.,Дівчина молода і весела.,en-ua
1.0,A woman looks at a duck as she walks behind it.,Жінка виходить на прогулянку зі своїм собакою.,en-ua
2.0,the men are about to score in a water polo tournament,Два чоловіки готуються до змагання.,en-ua
2.2,Man sitting on a bench drink from a mug surrounded by rugs.,Чоловік сидить на одній з двох червоних лавок і дивиться у кіоск.,en-ua
2.8,A man eats popcorn while watching cartoons late one night.,Чоловік і дівчинка дивляться мультики вдома.,en-ua
3.2,Three men sit on a bench.,Двоє чоловіків сидять на лавці.,en-ua
0.8,The road is long.,На узбіччі дороги нічого немає.,en-ua
2.0,A small blond boy slides head first down a blue playground slide toward another blond youth.,"Хлопчик з волоссям, що стирчить, ковзає по блакитній гірці.",en-ua
1.2,The four women are practicing for a upcoming match.,Жінки беруть участь у виставі.,en-ua
1.8,a young man wearing a white t-shirt and green and black shorts standing on a stump.,Чоловік у білій сорочці та червоно-чорних шортах бігає тротуаром.,en-ua
4.0,man on steps,Чоловік сидить на сходах.,en-ua
2.2,A dog under the stairs,Собака відпочиває на сходах.,en-ua
1.0,There is a young girl.,З жінкою є молодий хлопчик.,en-ua
4.2,Two women give a demonstration at a Renaissance Fair.,Двоє людей демонструють свої вміння на ярмарку епохи Відродження.,en-ua
4.2,A woman paints a picture of a large building which can be seen in the background.,"Людина малює картину з великим будівлею, яке видно на задньому плані.",en-ua
5.0,Some guy sitting on a couch watching television.,Хлопець сидить на дивані і дивиться телевізор.,en-ua
1.2,A woman is posing for a Christmas card.,Дівчина фотографує.,en-ua
3.4,Two kids are playing a game of Foosball.,Діти грають один з одним.,en-ua
4.0,The man is in a deserted field.,Чоловік на вулиці в полі.,en-ua
4.8,A little boy is drinking from a juice packet.,Хлопчик п’є сік із пакетика.,en-ua
0.4,A man has his skis ready for the field to get iced out,"Чоловік на човні готується витягти свої сітки, щоб подивитися, що впіймав.",en-ua
4.4,The biker is doing dangerous stunts.,Мотоцикліст виконує трюки.,en-ua
0.4,A musician is smearing jam on his white guitar at a concert.,Тромбоністка грає на своєму інструменті в оркестрі під час параду.,en-ua
2.8,A man is working on his farm.,"Старший чоловік працює на своїй фермі, і корова його штовхає.",en-ua
0.0,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,Дві усміхнені маленькі дівчатка грають у фонтані з іншими людьми.,en-ua
3.0,A group of people playing soccer on a soccer field in front of a crowd.,"Група чоловіків грає у футбол на стадіоні, заповненому людьми.",en-ua
4.6,A man is enjoying watching three asian children dance.,"Чоловік спостерігає, як троє азіатських дітей танцюють.",en-ua
4.4,A girl is talking to her dad on a cellphone.,Дівчина розмовляє по телефону.,en-ua
4.4,One person wields an umbrella.,Одна людина тримає парасольку.,en-ua
0.4,A woman walking down the side of a highway.,Чоловік стоїть на одній нозі на мосту.,en-ua
3.6,A group of teenagers jumping and having a good time.,Група дітей дуже весело проводить час.,en-ua
1.4,A man calling for a taxi at the airport on a sunny day.,Чоловік на вулиці в липневий день.,en-ua
1.2,A man is playing his guitar at Joe's Cafe.,Чоловік грає на ударних для своєї мами.,en-ua
3.0,A young boy has a red fishing pole.,Юний хлопець стоїть на мосту з рибальським вудочкою.,en-ua
1.6,A player bounces a ball.,Гравець ловить м'яч.,en-ua
1.4,Someone is on a blanket.,Ця людина робить покривало.,en-ua
2.4,Men competing in a contest.,Дві жінки змагаються в конкурсі.,en-ua
0.0,The puppy is outdoor.,Чоловік у шортах з принтом виконує позу йоги на пляжі.,en-ua
3.4,The man has a orange shirt.,У жінки є помаранчева сорочка.,en-ua
0.8,The two kids look at the products sold inside the subway shop.,Діти крадуть з магазину.,en-ua
2.8,The baby boy wants his mother.,Маленький хлопчик радий бачити свою маму.,en-ua
1.6,A young girl in a pink jacket is playing a board game.,Хлопчик у куртці грає.,en-ua
1.6,A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.,Чоловік у білий сорочці та чорних штанах усміхається.,en-ua
0.2,A person is scaling a rock wall.,Особа і кінь знаходяться над парканом.,en-ua
3.2,A boy is very close to a girl.,"Дівчина близько хлопця, чий обличчя не показане.",en-ua
2.2,Two men are playing a game of Scrabble together.,Дві жінки грають у гру.,en-ua
1.6,Six children are cleaning a room.,Двоє хлопчиків прибирають листя на парковці.,en-ua
2.0,The girl is very skilled and practices a lot.,Чоловік дуже вмілий.,en-ua
0.4,Many guards are standing in front of the starting line of a race.,Двоє чоловіків у діловому вбранні стоять біля дороги.,en-ua
5.0,There is a cook preparing food.,Кухар готує їжу.,en-ua
3.6,Two men are helping a boy.,Двоє чоловіків з молодою дитиною.,en-ua
4.8,A man at a farmers market.,Чоловік на фермерському ринку.,en-ua
2.0,four people walk toward a tower,Двоє чоловіків йдуть до будівлі у формі купола.,en-ua
0.2,A little girl and boy are reading books.,"Стара дитина грає з лялькою, дивлячись у вікно.",en-ua
3.8,The child would like to swim.,Діти хочуть плавати.,en-ua
3.6,Two skiing people are doing cross country skiing.,Люди катаються на лижах на довгі дистанції.,en-ua
0.4,A dog taking a poop in the street.,Чоловік робить іграшки з повітряних кульок для двох дітей на вуличному розі.,en-ua
2.2,Men are fighting after a basketball game.,Чоловіки грають у баскетбол.,en-ua
1.8,A kid is talking in class.,Дівчина йде на заняття.,en-ua
1.2,The women are trying to sell something to the individual.,Чоловіки намагаються заробити гроші.,en-ua
1.2,People are waiting for the fireworks to start.,"Троє людей чекають, поки дощ припиниться.",en-ua
2.2,A dog prepares to herd three sheep with horns.,Собака й вівця бігають разом.,en-ua
