score,sentence1,sentence2,lang
2.4,A person is on a baseball team.,Одна людина грає в баскетбол у команді.,en-ua
0.2,Our current vehicles will be in museums when everyone has their own aircraft.,Автомобіль потребує ремонту.,en-ua
1.0,A woman supervisor is instructing the male workers.,Жінка працює медсестрою.,en-ua
2.0,A bike is next to a couple women.,Дитина поруч із велосипедом.,en-ua
2.2,The group is eating while taking in a breathtaking view.,Група людей оглядає незвичне дерево.,en-ua
3.4,The boy is raising his hand.,Чоловік піднімає руку.,en-ua
0.8,A man with a gray beard is being shaved in front of a lecture hall,Чоловік з бородою сидить на траві.,en-ua
0.4,The sky has very little to no clouds.,"Ця дама, можливо, готова до скелелазіння або просто спостерігає за хмарами вгорі.",en-ua
0.4,The young boy jumps barefoot outside in the front yard.,"Підліток їхав велосипедом навколо людей, які прогулювались у дворі.",en-ua
4.0,There are dogs in the forest.,Собаки самі в лісі.,en-ua
3.4,Some cyclists stop near a sign.,"Двоє чоловіків зупинилися, щоб поговорити біля знаку на вулиці.",en-ua
3.0,These cooks in the white are busy in the kitchen making dinner for their customers.,Жінки готують вечерю на своїй кухні.,en-ua
4.6,A young person  deep in thought.,"Молодий чоловік, занурений у роздуми.",en-ua
1.8,A man is carrying a canoe with a dog.,Собака везе чоловіка в каное.,en-ua
2.8,A man is performing labor.,Сьогодні виступає чоловік.,en-ua
2.0,Two men wearing traditional clothing is standing outside.,Три жінки в чорних жилетках і сірій сорочках розмовляють біля будівлі.,en-ua
2.2,a woman watches a rap group live,"Глядачі спостерігають, як дівчина танцює.",en-ua
3.6,A girl dancing on a sandy beach.,Дівчина на піщаному пляжі.,en-ua
2.6,a man wearing a gray hat fishing out of a fishing boat.,Чоловік у солом'яному капелюсі та жилеті для риболовлі на струмку.,en-ua
0.2,A little girl in an orange striped outfit is airborne whilst bouncing on a bed.,Собака в червоній сорочці женеться за білкою крізь скло.,en-ua
1.4,A person is watching people ski down the hill.,"Жінка стрибала на велику відстань, поки люди спостерігали.",en-ua
1.6,The yard has a dog.,Собака біжить за іншою собакою.,en-ua
0.4,The woman is drinking lemonade and watching T.V.,Чоловік сидить і п'є каву.,en-ua
3.2,Three women cook.,Дві жінки готують.,en-ua
0.2,The woman is kneeling next to a cat.,Дівчина стоїть поруч з чоловіком.,en-ua
0.2,The young adult are cold,Азійські діти грають з собакою.,en-ua
2.4,Three guys playing a pro game of basketball.,два хлопця грають у бейсбол.,en-ua
3.8,A sad man is jumping over a small stream to meet his companion on the other side.,"Чоловік стрибає через струмок, щоб зустрітися з товаришем на іншому березі.",en-ua
0.2,The boys are earning their next belt in karate.,П'ять дівчат і один хлопець в купальниках стрибають у басейн.,en-ua
1.4,A woman is digging in the sand.,Чоловік закопаний у піску.,en-ua
1.8,A woman drives a golf cart.,Чоловік їде на возі.,en-ua
4.2,A woman is bungee jumping.,Дівчина стрибає з банджі.,en-ua
1.2,A clown performs for brother and sister as the rest of the party watches.,"Блондин виконує мелодію на трубі перед будинком, поки його молодший брат спостерігає.",en-ua
1.6,A person filming the outdoors.,На вулиці є пара.,en-ua
3.8,A human riding a skateboard.,Дитина катається на скейтборді.,en-ua
1.0,A woman in a plaid outfit is looking through a bag of produce.,"Це фотографія жінки у квітчастій сукні, яка несе щось у відрі.",en-ua
3.4,Four girls happily walk down a sidewalk.,Три молоді дівчата йдуть тротуаром.,en-ua
1.2,The tennis player hit the ball into outer space and broke the death star.,"Тенісистка підстрибує в повітря, щоб вдарити по м'ячу.",en-ua
4.0,A boy climbs a forest hill.,Хлопчик підіймається на пагорб.,en-ua
2.4,a group of navy seals are singing,Група військовослужбовців грає в мідному квінтеті.,en-ua
2.0,Blond boy jumping onto deck.,Хлопчик стрибає вниз по мокрій надувній гірці.,en-ua
2.6,A man uses a chainsaw to sculpt a phallic ice sculpture.,"Чоловік користується бензопилою, щоб вирізати дерев'яну скульптуру.",en-ua
3.8,A group of male construction workers repair railroad tracks on a cloudy day,Бригада робітників працює на залізничній колії.,en-ua
3.2,A man playing the violin in the rain.,Чоловік грає на гітарі під дощем.,en-ua
2.2,The people are leaving the airplane.,Люди заходять у літак.,en-ua
4.4,The dogs are chasing a cat.,Собаки женуться за чорною кішкою.,en-ua
2.6,The girl has something on her head.,Жінка має щось із собою.,en-ua
2.6,the tan dog is playing with the red dog out in the snow,Жовтий собака грається в снігу.,en-ua
0.2,People making a structure out of cards.,"Двоє людей разом, і один з них використовує предмет одягу не за призначенням.",en-ua
0.2,a girl with vases in the background inside her house,"Дівчинка стоїть, а інша дівчинка в окулярах малює на її руці.",en-ua
3.0,There are four people outside.,П'ятеро людей на вулиці.,en-ua
3.2,A person sitting in an office takes a picture.,Жінка сидить в офісі.,en-ua
1.8,Girls are holding hands in blue clothes,Молоді люди одягнені в джинси з червоними і зеленими сорочками.,en-ua
2.2,People rock jumping into water while people fish in the background.,Двоє людей спостерігають за водою.,en-ua
0.6,A man is demonstrating how to work with clay while at least two people observe.,Принаймні одна з трьох жінок розмовляє з іншими.,en-ua
0.6,A dog has a sweater on.,Чоловік у піджаку сидить на червоному дивані з котом.,en-ua
5.0,A blonde woman looks for medical supplies for work in a suitcase.,Блондинка шукає медичні припаси у валізі.,en-ua
5.0,A boy is at school taking a test.,Хлопець складає тест у школі.,en-ua
2.2,An old man wearing a hat stands outside a shop door.,чоловік у занадто великій сорочці сидить у магазині,en-ua
0.2,Sculptor applying concrete to large statue of human figure standing with no head.,"Людина стоїть перед будівлею, високо піднявши фанеру.",en-ua
0.6,A boy with dark hair is in water and is looking up.,У цього чоловіка коротке волосся.,en-ua
0.2,A pole is behind a person that is playing peekaboo with a child.,Там дитина з м'ячем.,en-ua
1.0,A woman is about to paint.,Хлопець збирається зробити фото.,en-ua
0.4,The carriage is drawn by a horse.,Чоловік їде на велосипеді біля будівлі.,en-ua
3.4,a man working at the steel mill,"Чоловік, який працює на ливарні.",en-ua
