score,sentence1,sentence2,lang
2.4,Людина є членом бейсбольної команди.,Одна людина грає в баскетбол у команді.,ua-ua
0.2,"Наші теперішні автомобілі будуть в музеях, коли у кожного буде свій власний літальний апарат.",Автомобіль потребує ремонту.,ua-ua
1.0,Жінка-керівник керує чоловіками-працівниками.,Жінка працює медсестрою.,ua-ua
2.0,Велосипед стоїть поруч із кількома жінками.,Дитина поруч із велосипедом.,ua-ua
2.2,"Група їсть, насолоджуючись захоплюючим краєвидом.",Група людей оглядає незвичне дерево.,ua-ua
3.4,Хлопець підіймає руку.,Чоловік піднімає руку.,ua-ua
0.8,Чоловіка з сірою бородою голять перед лекційною аудиторією.,Чоловік з бородою сидить на траві.,ua-ua
0.4,На небі майже немає хмар.,"Ця дама, можливо, готова до скелелазіння або просто спостерігає за хмарами вгорі.",ua-ua
0.4,Маленький хлопчик босоніж стрибає у передньому дворі.,"Підліток їхав велосипедом навколо людей, які прогулювались у дворі.",ua-ua
4.0,У лісі є собаки.,Собаки самі в лісі.,ua-ua
3.4,Деякі велосипедисти зупиняються біля знака.,"Двоє чоловіків зупинилися, щоб поговорити біля знаку на вулиці.",ua-ua
3.0,"Ці кухарі в білому зайняті на кухні, готуючи вечерю для своїх клієнтів.",Жінки готують вечерю на своїй кухні.,ua-ua
4.6,"Молода людина, заглиблена в задуму.","Молодий чоловік, занурений у роздуми.",ua-ua
1.8,Чоловік несе човен разом із собакою.,Собака везе чоловіка в каное.,ua-ua
2.8,Чоловік виконує роботу.,Сьогодні виступає чоловік.,ua-ua
2.0,Двоє чоловіків у традиційному одязі стоять на вулиці.,Три жінки в чорних жилетках і сірій сорочках розмовляють біля будівлі.,ua-ua
2.2,жінка дивиться виступ реп-групи наживо,"Глядачі спостерігають, як дівчина танцює.",ua-ua
3.6,Дівчина танцює на піщаному пляжі.,Дівчина на піщаному пляжі.,ua-ua
2.6,чоловік у сірому капелюсі ловить рибу з рибальського човна.,Чоловік у солом'яному капелюсі та жилеті для риболовлі на струмку.,ua-ua
0.2,"Маленька дівчинка в помаранчевому смугастому вбранні злітає вгору, стрибаючи на ліжку.",Собака в червоній сорочці женеться за білкою крізь скло.,ua-ua
1.4,"Людина спостерігає, як люди катаються на лижах з гори.","Жінка стрибала на велику відстань, поки люди спостерігали.",ua-ua
1.6,На подвір'ї є собака.,Собака біжить за іншою собакою.,ua-ua
0.4,Жінка п'є лимонад і дивиться телевізор.,Чоловік сидить і п'є каву.,ua-ua
3.2,Три жінки готують.,Дві жінки готують.,ua-ua
0.2,Жінка стоїть на колінах поряд з котом.,Дівчина стоїть поруч з чоловіком.,ua-ua
0.2,Молоді люди мерзнуть.,Азійські діти грають з собакою.,ua-ua
2.4,Троє хлопців грають у професійну гру з баскетболу.,два хлопця грають у бейсбол.,ua-ua
3.8,"Сумний чоловік перестрибує через маленький струмок, щоб зустрітися зі своїм товаришем на іншому боці.","Чоловік стрибає через струмок, щоб зустрітися з товаришем на іншому березі.",ua-ua
0.2,Хлопці заробляють свій наступний пояс з карате.,П'ять дівчат і один хлопець в купальниках стрибають у басейн.,ua-ua
